床前明月光，\r疑是地上霜。\r举头望明月，\r低头思故乡。\r	jysi
老鼠过街人人喊打	lugd
没有规矩不成方圆	mygy
宁做鸡头不做凤尾	nzjw
跑了和尚跑不了庙	plhm
青菜萝卜各有所爱	qcla
巧妇难为无米之炊	qfni
三人行，必有我师	srxu
特立尼达和多巴哥	tlng
天下无不散之筵席	txwx
圣多美和普林西比	udmb
是可忍，孰不可忍	ukrr
瘦死的骆驼比马大	usdd
壮士一去兮不复返	vuyf
只知其一不知其二	vvqe
站着说话不嫌腰疼	vvut
朝闻道，夕死可矣	vwdy
中央人民广播电台	vyrt
王侯将相宁有种乎	whjh
心急吃不了热豆腐	xjif
新疆维吾尔自治区	xjwq
一波未平一波又起	ybwq
一方水土养一方人	yfur
一个天上一个地下	ygt_
鱼和熊掌不可兼得	yhxd
一家人不说两家话	yjrh
一颗红心两手准备	ykhb
燕雀安知鸿鹄之志	yqav
一日不见如隔三秋	yrbq
按下葫芦起来瓢	axhp
巴布亚新几内亚	bbyy
不到长城非好汉	bdih
拔根汗毛比腰粗	bghc
不管三七二十一	bgsy
不敢越雷池一步	bgyb
饱汉不知饿汉饥	bhbj
不患贫而患不均	bhpj
拔出萝卜带出泥	biln
不吃羊肉惹身臊	biys
宝剑锋从磨砺出	bjfi
不见棺材不落泪	bjgl
不见兔子不撒鹰	bjty
不见真佛不烧香	bjvx
不看僧面看佛面	bksm
不如意事常八九	bryj
半桶水，响叮当	btud
不识庐山真面目	bulm
不知道什么时候	bvdh
不战而屈人之兵	bveb
不撞南墙不回头	bvnt
不为五斗米折腰	bwwy
布宜诺斯艾利斯	byns
不遭人妒是庸才	bzrc
此地无银三百两	cdwl
曾经沧海难为水	cjcu
聪明反被聪明误	cmfw
此一时，彼一时	cyuu
东边日出西边雨	dbry
道不同不相为谋	dbtm
貂不足，狗尾续	dbzx
东方不亮西方亮	dfbl
打狗还得看主人	dghr
打开天窗说亮话	dkth
得了便宜还卖乖	dlpg
得来全不费工夫	dlqf
大难临头各自飞	dnlf
打破砂锅问到底	dpud
大人不记小人过	drbg
得饶人处且饶人	drrr
低头不见抬头见	dtbj
丁是丁，卯是卯	dudm
大树底下好乘凉	dudl
大水冲了龙王庙	duim
道是无晴却有晴	duwq
打着灯笼找不着	dvdv
多行不义必自毙	dxbb
东一榔头西一棒	dylb
儿行千里母担忧	exqy
防君子不防小人	fjzr
风里来，雨里去	fllq
夫妻本是同林鸟	fqbn
防人之心不可无	frvw
粪土当年万户侯	ftd_
俯首甘为孺子牛	fugn
放之四海而皆准	fvsv
风萧萧兮易水寒	fxxh
腹有诗书气自华	fyuh
敢把皇帝拉下马	gbhm
功夫不负有心人	gfbr
古来圣贤皆寂寞	glum
各人自扫门前雪	grzx
管他三七二十一	gtsy
广西壮族自治区	gxvq
狗嘴吐不出象牙	gzty
话不投机半句多	hbtd
恨不相逢未嫁时	hbxu
哈尔滨工业大学	hebx
好钢用在刀刃上	hgyu
好汉不吃眼前亏	hhbk
画虎画皮难画骨	hhhg
好了疮疤忘了痛	hlit
虎落平阳被犬欺	hlpq
好了伤疤忘了疼	hlut
好马不吃回头草	hmbc
