当一天和尚撞一天钟	dytv
何其相似乃尔	hqxe2
滑天下之大稽	htxj2
海水不可斗量	hibl2
杀鸡焉用牛刀	ijyd3
神圣不可侵犯	iibf4
挂羊头卖狗肉	gytr4
事实胜于雄辩	iiib5
可望而不可即	kwej
口惠而实不至	khev
精神文明建设	jiwi
雷声大雨点小	lidx
理论联系实际	lllj
老死不相往来	lsbl
来无影，去无踪	lwyz
捷克斯洛伐克	jksk
九牛二虎之力	jnel
鸡蛋里挑骨头	jdlt
几十年如一日	jinr
既来之，则安之	jlvv
吉人自有天相	jrzx
可望而不可及	kwej2
立于不败之地	lybd2
流言止于智者	lyvv2
岌岌不可终日	jjbr2
决胜千里之外	jiqw2
井水不犯河水	jibi3
家丑不可外扬	juby3
内蒙古自治区	nmgq
能不能告诉我	nbnw
你可否告诉我	nkfw
牛头不对马嘴	ntbz
你不仁我不义	nbry
破题儿第一遭	ptez
请帮我查一下	qbwx
求人不如求己	qrbj
求大同，存小异	qdty
桥归桥，路归路	qgql
前怕狼，后怕虎	qplh
求爷爷告奶奶	qyyn
人民代表大会	rmdh
美利坚合众国	mljg
如入无人之境	rrwj
人有旦夕祸福	rydf
人人得而诛之	rrdv
人之初，性本善	rvui
斯堪的纳维亚	skdy
麻烦你告诉我	mfnw
明人不做暗事	mrbi
满招损，谦受益	mvsy
三句不离本行	sjbh
三寸不烂之舌	scbi
死马当活马医	smdy
死无葬身之地	swzd
南京师范大学	njix2
你能否告诉我	nnfw2
你可以告诉我	nkyw2
前言不搭后语	qyby2
热锅上的蚂蚁	rgiy2
摸着石头过河	mvih2
乌兹别克斯坦	wzbt
我想了解一下	wxlx
我想你告诉我	wxnw
我能不能询问	wnbw
我真的想知道	wvdd
我能不能查询	wnbx
我可不可询问	wkbw
万变不离其宗	wbbz
无所不用其极	wsbj
唯恐天下不乱	wktl
闻名不如见面	wmbm
五十步笑百步	wibb
太岁头上动土	tstt
天无绝人之路	twjl
天时地利人和	tidh
天机不可泄露	tjbl
头发长见识短	tfud
出污泥而不染	uwnr
陈谷子烂芝麻	ugzm
吃不了兜着走	ublz
拆东墙补西墙	udqq
吃一堑，长一智	uyqv
